Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-08-25,500.0,524.87998,490.10042,516.11742,26.86,13340.988395,496.686090654
2014-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-27,524.85421,524.85421,524.85358,524.85358,1.312091,688.655967687,524.853815541
2014-08-28,495.08275,495.08275,495.08275,495.08275,0.02382,11.792871105,495.08275
2014-08-29,524.78733,524.87551,524.78733,524.87543,0.517827,271.764457524,524.817086641
2014-08-30,495.25973,524.76998,495.25973,524.26603,0.45841051,228.634930677,498.755865517
2014-08-31,495.26149,509.98296,490.5,509.98296,5.61203945,2789.68712995,497.089721981
2014-09-01,490.01,490.01,490.01,490.01,0.09953429,48.7727974429,490.01
2014-09-02,524.76939,524.76939,524.76939,524.76939,3.811e-05,0.019998961453,524.76939
2014-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-04,475.00156,475.00651,475.00081,475.00651,3.41005838,1619.78859736,475.003186707
2014-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-06,524.77,524.77,524.77,524.77,0.176851,92.80609927,524.77
2014-09-07,500.0,500.0,480.00001,480.00001,1.24003,605.2308234,488.077565382
2014-09-08,524.77,524.77,465.00143,488.76711,41.14063936,19631.5002257,477.18024151
2014-09-09,465.00415,475.0,465.00415,475.0,0.50774803,236.88106238,466.532705957
2014-09-10,475.00001,475.00001,475.00001,475.00001,0.02,9.5000002,475.00001
2014-09-11,475.00013,475.00013,475.0,475.0,1.01078477,480.122850435,475.000083781
2014-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-13,474.76999,474.77,474.76999,474.77,0.14916,70.8166931,474.76999933
2014-09-14,490.0,490.0,490.0,490.0,0.21201223,103.8859927,490.0
2014-09-15,475.00001,475.00001,465.00781,465.00781,3.07923263,1442.65111945,468.509948029
2014-09-16,499.98933,527.99987,465.0,465.00001,2.76320289,1325.23530661,479.601158282
2014-09-17,465.00001,465.00001,445.00001,445.00001,5.14001826,2361.66192341,459.465668008
2014-09-18,455.99999,503.18147,400.0,503.18147,18.12199892,7668.54522736,423.162216332
2014-09-19,400.0,400.0,375.93621,375.93621,1.5,596.677285,397.784856667
2014-09-20,466.666,466.666,385.00001,385.00001,0.15591857,62.2112413995,398.998280959
2014-09-21,450.0,450.0,385.01001,385.01001,1.2,483.501001,402.917500833
2014-09-22,424.99784,425.0,295.0,404.82901,24.17732817,8288.42401971,342.81803024
2014-09-23,425.0,452.99999,420.01001,420.01001,7.70277355,3357.93914999,435.938967723
2014-09-24,420.02001,449.18,412.33637,433.15178,3.287,1380.54872536,420.002654507
2014-09-25,413.00001,415.0,397.0,397.0,4.51108142,1856.8095262,411.610732178
2014-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-28,446.02134,449.99795,387.62584,390.0,10.77926916,4543.2431773,421.479704224
2014-09-29,393.99982,393.99982,370.00545,370.94491,0.71554983,277.845326277,388.296264814
2014-09-30,370.1167,393.21657,370.1167,380.02001,6.67925623,2591.80051992,388.037294973
2014-10-01,390.0,390.0,390.0,390.0,2.0,780.0,390.0
2014-10-02,380.05005,380.05005,370.10001,370.11002,0.275,102.4610042,372.585469818
2014-10-03,389.51342,389.97999,355.0,355.0,20.27,7557.10124716,372.821965819
2014-10-04,359.97997,369.6289,322.11186,322.11186,38.10892397,12816.8988474,336.322769373
2014-10-05,315.15148,330.0,273.32564,330.0,18.72145726,5862.37577483,313.136722928
2014-10-06,320.00001,349.84513,300.0,349.84513,53.40589682,16835.6026168,315.238646278
2014-10-07,315.06119,341.70602,315.06119,341.70602,0.421,141.4762129,336.048011639
2014-10-08,348.95949,370.0,348.95949,370.0,9.89973773,3484.95976765,352.025463977
2014-10-09,335.46848,399.996,335.16179,370.19002,28.11519805,10348.0888047,368.060320483
2014-10-10,366.99999,378.98999,355.5917,355.5917,7.77771339,2867.65999889,368.702194989
2014-10-11,378.82957,378.99999,357.17516,357.17874,0.46176373,169.754057037,367.621027829
2014-10-12,359.53202,379.97,352.83413,379.97,16.64574342,6280.52462934,377.305144677
2014-10-13,370.10392,400.0,370.10021,400.0,20.83296055,8148.94536703,391.156376813
2014-10-14,400.0,418.98998,395.27823,411.25545,29.7296931,12144.4980899,408.497257238
2014-10-15,395.04332,400.30913,385.47712,400.30913,11.22832406,4432.20196823,394.734062229
2014-10-16,398.38752,398.38752,374.61003,389.14365,16.08419864,6149.59523426,382.337682585
2014-10-17,385.8576,385.8576,376.73067,381.0105,0.05216063,19.944380064,382.364631409
2014-10-18,371.00373,395.79193,371.00373,395.79193,0.95977536,367.554581085,382.958967695
2014-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-20,391.24176,391.24176,391.24176,391.24176,0.05,19.562088,391.24176
2014-10-21,390.57523,391.58111,371.00001,391.58111,10.23525506,3882.15579034,379.292530335
2014-10-22,391.58111,393.49234,371.37843,388.70532,2.34818827,916.621463716,390.352628631
2014-10-23,374.0,374.0,365.0,368.63955,11.95253549,4403.60940938,368.424708972
2014-10-24,368.36564,373.69072,355.0,373.34819,7.60272215,2790.64029904,367.058041052
2014-10-25,363.00001,363.00001,355.0,359.51172,7.81320053,2795.30124573,357.766479306
2014-10-26,360.0,384.71905,360.0,362.5,6.12094841,2229.56856798,364.252141765
2014-10-27,368.15412,368.15412,364.3,364.3,0.04323896,15.7651265365,364.604665249
2014-10-28,352.01024,365.12521,352.01024,365.12521,0.58976373,211.749534896,359.041297598
2014-10-29,350.00001,350.00001,335.00987,335.06565,8.87321215,3050.00131087,343.731363492
2014-10-30,335.00167,350.0,335.0,346.02084,7.56041171,2554.41481127,337.86715714
2014-10-31,344.29,347.95,344.29,347.95,0.03559,12.3321541,346.506156224
2014-11-01,340.09209,340.15346,320.00001,320.00001,5.66358534,1856.32181564,327.764429102
2014-11-02,320.00001,325.18843,320.00001,323.93959,0.11539963,37.3774958093,323.896149487
2014-11-03,325.18843,325.18843,325.0,325.0,4.96861786,1614.80308985,325.000459958
2014-11-04,325.0,330.0,325.0,325.0,16.8684394,5504.37652438,326.312137943
2014-11-05,329.9967,348.20467,328.20467,328.20467,9.72999417,3229.98206513,331.961356677
2014-11-06,349.1749,349.1749,348.0,348.0,0.04009,13.9830548779,348.791590868
2014-11-07,333.0,348.0,333.0,347.07869,6.60293077,2225.92326748,337.111404772
2014-11-08,341.08607,349.99681,330.16235,349.99681,4.81004908,1655.50887754,344.177127926
2014-11-09,347.67065,350.0,338.66092,350.0,19.35630129,6726.48873114,347.508991019
2014-11-10,350.04915,370.0,350.04915,355.0,3.56880398,1260.80375099,353.284674097
2014-11-11,367.0,372.63182,360.51753,371.69669,5.42261473,1991.37665581,367.235504451
2014-11-12,383.33812,430.35988,379.99,423.48202,219.46096288,88844.0402477,404.828444575
2014-11-13,423.28208,450.0,380.0,415.00001,65.8841301,27127.8935235,411.751562664
2014-11-14,415.0,417.77095,395.0,395.0,23.16341934,9488.21040292,409.620456447
2014-11-15,385.78423,385.78423,378.97188,379.99,10.67866498,4048.06913937,379.080076671
2014-11-16,394.99999,394.99999,379.55697,380.0,1.56013,593.308319399,380.294154589
